## 中文播客音频转录

[00:00:00] [嘉宾]：逻辑上来讲，我觉得媒体朋友大家写的东西我还是得尽量的就得稍微注意一下，因为借壳这个事情，科创板是不让的。包括这个今天上午还有很多两三个创神给我发，说你怎么样看至远的这个事情，我们能不能尝试类似的这个动作？监管的审核永远是一把这个高悬的剑，需要去维护所有这个股东的权益。

[00:00:24] [主播]：大家好，欢迎收听晚点聊，我是曼琪。今天和我在一起的，有我们的科技组的同事与彤。

[00:00:29] [嘉宾]：大家好，我是与彤。

[00:00:30] [主播]：今天我们请到了一位老朋友，是之前在光年之外被美团收购之后，有做客晚点聊，来去讲一级市场并购的蓝桥资本的创始人王超，王超你可以和我们的听友简单打个招呼。

[00:00:41] [嘉宾]：哈喽，大家好，我是蓝桥资本合伙人王超，Charles。

[00:00:44] [主播]：今天我们来讲就是最近这一两周非常受关注的一起新的资本市场的交易，就是智源收购上为新材料的一部分的股份。外界都认为这会是一个上市借壳的操作。那如果之后它真的成功通过这种方式上市的话，它应该会成为中国的人形机器人第一股。

[00:01:03] [嘉宾]：可能是带着这种期待，上维新材料的股价最近是连连大涨。我们录这期节目的时候是7月11号周五，上维新材它是在7月9号复牌，发布了这个股权转让的相关公告之后，连续三天20%的涨停板。因为科创板它是20%，就是比主板要再多10%。股价是在周五涨到了13块多。然后录了这期节目之后的一些补充信息是到7月15日，就是下一个周二，就是这周二，上维新材已经又涨到了19块多，相比股权转让之前的7块多已经翻了近三倍。

[00:01:38] [主播]：接下来我们还是回到录节目的当天，我们会从这个事件作为切入点，去讲讲在A股在科创板，借壳或者类借壳是怎么操作的，最近有了一些什么样的政策变化，以及除了智源这一个案例之外，我们可能还会看到一些什么类似的操作。

[00:01:54] [主播]：那我要不要先简单的先跟那个朋友们介绍一下就是智源这家公司。智源这家公司其实是成立于2023年。我们看到的是崔徽君在公司的角色是CTO和联合创始人。然后机器人和投资圈大家都会知道的，其实他的这个背后的实际的这个控制人和CEO是邓太华，但然可能对于更C端的这个朋友们不是很了解。那其实在这次公告之后呢，邓太华这个人物也已经浮出了水面。

