(00:00) [音乐]
(00:20) [主播] 来都来了，面对复杂。哈喽，大家好，欢迎来到正面链接的星期七播客，我是张平。4月8号，全国院线上线了一部电影《东四十四条》。今天我们很荣幸的邀请到了这部电影的导演占汉奇，朋友们都叫她大豆，还有主演钱赓，他在电影里面饰演十条。大豆和钱赓跟我们的听众打个招呼吧。
(00:41) [嘉宾] 哈喽，大家好，我是大豆，我是《东四十四条》的导演。
(00:45) [嘉宾] 哈喽，大家好，我是钱赓，我在电影《东四十四条》里面饰演十条这个角色。
(00:50) [主播] 2021年10月，大豆和另一个导演秦木秋阿毛开拍电影《东四十四条》。电影里面有两个主角，一个叫东四，一个叫十条，他们是租住在北京鼓楼胡同的北漂年轻人。春天他们在胡同看到一张寻找走失赛鸽的广告，悬赏十万元，于是他们决定一起在北京找鸽子。故事很无厘头，很莫名其妙，东四和十条从春天找到了冬天，在胡同里瞎晃悠，一直在讲冷笑话，遇到了各种各样很奇怪的人，他们也经常忘记了自己还在找赛鸽。2023年，《东四十四条》在平遥国际电影节首映，获得了第七届平遥国际电影节费穆荣誉、评审荣誉。今天我们从主创们怎么拍电影、走红毯、上院线聊起，聊一聊电影里外的年轻人，也聊一聊鼓楼和我们卡住的一代。大豆说这是一部关于鼓楼的社区电影，纳米级投资，其实压根就没有投资，因为主创人员都是住在鼓楼的邻居，工作人员也都是从邻居中找的。参与的邻居们其实都没有什么钱拿，拍摄期间也没有什么支出，最大的一笔开销就是请冬天拍摄，冻坏了的主创们搓了一次澡。看过的电影的人都说这是一部含亚量很高的电影。今天我们第一部分先聊一聊亚B怎么拍电影，没钱硬拍也能拍的电影，是一个什么样的拍法呢？
(02:17) [嘉宾] 首先我觉得我跟钱赓，我俩都不是亚B，钱赓你是吗？
(02:22) [嘉宾] 我应该不算吧，我应该还达不到那种级别跟资格，我觉得。
(02:27) [嘉宾] 我们不够亚，倒是挺想亚的，但是就不够亚。
(02:31) [嘉宾] 我们应该是既比，就是冠比，亚比和既比，我们应该属于既比吧。
(02:39) [嘉宾] 我属于那种还是比较卡在那个主流跟非主流中间的那个一个很尴尬的一个位置的人。我们为什么拍电影，其实像你刚才说的太无聊了。我好像有些人质疑说哪有你们这样就是一时兴起拍电影的，然后为什么不能一时兴起拍电影呢？那我一时兴起的时候我就非得把这个兴压下去吗？就觉得自己没资格吗？我我就觉得这件事情很好笑，我们就是一时兴起拍电影了，而且拍完了。
(03:17) [主播] 从什么时候决定拍的，然后到真正的实践拍中间有哪些过程？
(03:23) [嘉宾] 因为最开始只有我跟阿毛两个人，所以我俩决定拍，但是也没有什么力量。然后呢，我们两个人，在21年夏天的时候就说要拍，因为我俩那会儿老是在胡同里遇到，而且属于那种每个人都特别脱离，一人拿一根冰棍，然后可能阿毛穿的那个T恤的那个领口还是已经炫开的。对，就在这个很脱离的状态下我俩就觉得好像应该把这个事情拍成电影。然后但是我们两个也当时聊了三四次吧，这个事没有结果，后来一直到夏天过去都觉得好像这个事要黄了，然后两个人又也挺失望的。后来转机就是我们的监制贾石君来北京嘛，他当时也挺卡的，因为他有一个项目把他卡在北京，他那段时间就得不断的来。但是那个项目最终也是黄了。然后他当时卡的时候吧，就在胡同里喝酒。他把他Apple Watch丢了，然后第二天他他拉着我还有小迪，小迪就是后来的摄影师，拉着我们两个陪他找，后来你就会发现这个Apple Watch可能真的不太好找，因为他那个定位并不是特别的准确。就是我们最开始看到它在一个公共厕所，所以我们心冲冲的过去之后发现他又飘走了，飘到了一个民房里面。
(04:51) [嘉宾] 有可能是从下水道里了。
