好的，这是您所请求的播客音频的完整转录：

[00:00] （背景音乐）
[00:19] [其他]：来都来了，面对复杂。
[00:21] [主播]：哈喽，大家好，欢迎来到正面链接的信一期播客，我是张平。今年11月新上映了一部电影《好东西》。今天很荣幸邀请到了这部电影的导演邵一辉、影评人梅雪峰，一起聊一聊这部电影。请邵导和梅老师跟我们的听众打个招呼吧。
[00:39] [嘉宾]：大家好，很荣幸来到这里做客，我是邵一辉。
[00:43] [嘉宾]：导演好，大家好。
[00:45] [主播]：嗯，《好东西》围绕着两个女性展开故事。宋佳饰演的田梅是拿过新闻奖的前调查记者，她也是一位单亲妈妈，她独立、有主体性，不把男人放在生活首位。钟楚曦饰演的小叶是一名乐队主唱，她依赖爱，需要爱，对爱仍抱有幻想和渴望。田梅身边有两个男人，过去时的前夫还有可能是未来时的小马。《好东西》的预告片里面有提到一个关键词是“关系”，六个人15种关系，三角关系、伪装关系、我们在玩一种很新的关系。看过电影之后我最大的感受也是，我看到了在国产电影里面，非常少看到的一种很当下很新的关系。比如说在男性跟女性的关系上，我们总设想的那种一个家庭的强纽带，是在电影中被质疑甚至是削弱的。就是田梅和前夫没有那么很紧密的联系了，他们只是“狱友”，和另一位男性小马的亲密关系，则是绑丁不深的课间10分钟式的关系。在女性和女性的关系上，电影则走得更远。现代社会的文化里面我们对共同体的想象，只有家庭这一个形式，并且是以异性恋为中心、以婚姻契约会基础的核心家庭这一种形式。但是《好东西》里，两个只是邻居关系的女性，她们正建立了一种新型的关系，而且是非常紧密的、很共同体的那种关系。她们俩一起做菜，她们也实践着共同育儿，而且她们真正的看见了彼此。今天我们就想围绕着这部电影里呈现出来的各种关系，这六个人15种关系聊起，然后也想跟导演聊一聊这部电影，还有电影创作背后的故事。
[02:28] [嘉宾]：哎，我觉得杨柳说得非常好，而且其实你们前面不管是写的还是说的这一段内容，我觉得就已经对电影进行了很好的解读，就是看得很明白，而且就已经说完了我特别想表达的所有的东西。
[02:43] [嘉宾]：那太好了。
[02:44] [嘉宾]：我都不知道我能说啥了。
[02:45] [嘉宾]：我觉得你提的这些点，包括就是你着重强调的，其实就的确就是我最想表达的。
[02:52] [嘉宾]：太好了。我也特别特别喜欢这个电影，看电影的时候，我流泪了很多次。女性当主角的电影少么也不少，但是好像真的你就看到那些很琐碎的，他在那种女性的处境被展现了，就哪怕很非常简单，可能就一秒的一个镜头，那个男性在旁边撒眼尿，然后田梅就是“嘿”叫他一声，就是太普遍了。因为我们每天确实走在路上，你可能路过一个墙角，就有一个男性背对着墙角站在那里。我就觉得哇有这种很小的，真的好好啊。
[03:26] [嘉宾]：我也特别开心，因为其实的确因为这是女女女的故事嘛，我本来也知道应该有很多女孩，尤其是跟我这种想法差不多的女生会喜欢，但是等真的有一些女女性朋友啊，包括像你跟我表达了之后，我觉得觉得这就是拍了电影最大的意义。对，就是让我喜欢的人也能喜欢我的东西，而且就是彼此能更深的理解我们想要去干嘛。因为我们的确都有很多共同的这种生命经验。
[03:58] [嘉宾]：是的。
[03:59] [主播]：我们现在聊第一队关系吧，就是邻居。这两位女性她们的关系其实最初是邻居嘛。电影的第一幕就是田梅带着女儿茉莉，一个九岁的小女孩搬到了新家，然后她结识了邻居小叶，这个是故事的起点。想跟邵导聊聊，其实为什么会想要拍这两个女性做主角，而且她们还是一种邻居的关系。就是以前我们看的可能是，什么大学的同学啊，或者是同事啊，他们好像都有一种天然的这种社会关系在。但是这两个女孩其实之前他们对彼此的人生是完全不了解的，而且性格啊什么的，是完全不同的。
