[00:00] (背景音乐：轻快的吉他旋律)
[00:11] 大家好，欢迎来到我的播客节目《起朱楼宴宾客》，我是大卫翁。
[00:15] 这期节目是我在深圳和远行者与碎冰酱的主播猫草，还有Cindy老师进行的一期串台。
[00:22] 他们两位之前都是劝让研究所负责消费行业研究的分析师，甚至Cindy的专攻就是酒店行业。
[00:30] 所以我们从酒店的会员体系聊起，还穿插了很多关于酒店盈利模式以及OTA，也就是像携程飞猪这样的酒店集合预订平台的讨论。
[00:41] 不过在剪辑和回听的过程中，我发现我们可能更多聚焦在了这个行业的一般发展规律上，并没有对中国酒店行业目前的困境，以及更加广泛的我们这些普通人的住宿需求进行讨论。
[00:55] 所以呢，大家听起来可能会有一点觉得和现实脱节。
[01:00] 那正好，在剪辑的这几天呢，我读到了一篇酒店行业的公众号写的文章，标题是《北京住宿业下滑为何如此夸张》。
[01:10] 里面探讨了上半年北京酒店行业为何整体利润会暴跌90%以上。
[01:16] 我会把这篇文章的链接放在Shownotes里面。或许，是对节目里那这些内容的一个比较好的补充。
[01:22] 那关于文中讨论的酒店行业的收入端是如何减少的，而支出端又是刚性的这些暂且不论。
[01:30] 这篇文章里面一段文字是在说，现在国内消费者仍然旅行、打卡、出差，但却更倾向于临时决策、短平快走。
[01:40] 他们并不反对贵，但不能感觉不值。
[01:43] 而这也不仅仅是住宿业的问题，是一种群体性的观望行为。
[01:48] 酒店只不过作为这个链条最末端的行业，是消费者最晚被决策、最早被砍预算的环节，所以自然而然就成了这轮信心缺失的嫌疑指。
[01:59] 我觉得这段话确实写得很好，是目前国内酒店业，也是旅游业遇到的很多困境。
[02:05] 但是呢，从海外酒店行业的发展历程来看，大家都是这样在周期的风口浪尖上一轮一轮的经受洗礼。
[02:13] 而我们现在看到的这些全球大酒店集团为什么采取这种轻资产的运营模式，以及他们的会员体系为何会如此的丰满，也是在这个过程中进化而来的。
[02:25] 那希望中国的酒店行业未来也能跑出几家开遍全球的连锁酒店集团，而不是像日本的这些酒店一样，只是偏安一隅。
[02:35] 那最后必须要说的是呢，我们在聊的过程中其实还谈了一些对于度假酒店的理解。
[02:40] 但因为更不接地气，所以我就直接把它们从正片里删掉了。
[02:45] 我会放在“犬生活”里面，感兴趣的朋友可以移步收听。
[02:49] 好，铺垫了这么多，那接下来就请收听这期节目的正式部分吧。
[02:54] (背景音乐渐弱)
