[00:00] （背景音乐）

[00:11] [主播]：哈喽，大家好，欢迎来到我的播客节目《骑猪抡冰课》，我是大卫翁。这一期是有点特别的节目啊，大家等会儿会见证到的是我和播客文理两开花、强烈谈的肖肖跑，还有知新小酒馆的余白一起录制的，由有智有型倾情制作的第一档付费专辑——投资大师系列的上线。

[00:33] 听过我去年节目里那两期关于达利欧和西蒙斯的朋友可能还记得有这么个系列啊。其实我们今年又悄摸摸地录了四期，但由于种种考虑，最终我们决定把它做成一档付费节目。具体的原因呢，以及我们做这档节目过程中的一些感想和花絮，还有我们觉得什么样的朋友适合听这档节目，都放在了我们三个录的这个前导篇里面。

[00:58] 至于购买的方式，大家听到这期节目的时候，应该已经可以在骑猪抡冰课的小宇宙节目页面上看到这个付费专辑的 banner 图了。万一没看到的话，也可以去知新小酒馆的页面上看到。另外呢，如果你是通过喜马拉雅或者是网易云音乐收听我这档节目的朋友，也可以去知新小酒馆的页面上找到购买链接。那如果是通过苹果播客收听的朋友，可能不好意思，暂时还是只能通过上述的三个渠道买到这个付费专辑。

[01:30] 那在正式开始之前呢，还有一个需要广而告知的事情，那就是为了庆祝我们这档付费节目的上线，《骑猪抡冰课》、文理两开花和油塔配咖啡共同推出的周边也终于上线了。这就是一系列的精酒。是的，我们三个酒鬼最终决定用周边酒的方式来与君同饮。

[01:51] 事实上呢，这也是我们三个去年一起去云南玩的时候，由从菜街到厨房的资料老师带队，去了普洱的一个叫做云南蒸馏所的地方。我们对那里做的精酒一见钟情，回来之后呢，也一直念念不忘，于是有了这次和蒸馏所合作，推出了三款分别对应三档节目的联名精酒。而在此之外呢，还有一款隐藏款的精酒，是用云南的君子酿造的，非常的不简单。那这款酒呢不单独发售，只作为套装的一部分在我们三款精酒的套装里出现。

[02:25] 那如果你是对这系列周边酒感兴趣的朋友，可以在 show notes 里找到购买链接。另外呢，也可以在我的公众号骑猪抡冰课的后台发送“精酒”或者“周边酒”获得购买链接。不过需要特别说明的是，从大家下订单到最终拿到这瓶酒，中间可能需要一定的时间，具体的发货周期，我会在购买链接里面的这个说明文字里面具体写明，请大家多多留意。

[02:54] 希望大家都能边喝着特调的 Gin Tonic，边听我们这个投资大师系列，和这些穿越周期的大神们一起度过一个愉快的夏天。那话不多说，接下来就请听这个系列的前导篇吧。

[03:06] （背景音乐）

[03:15] [余白]：今天邀请大老师和小跑老师，是因为我们酝酿很久的投资大师系列终于要上线啦！

[03:23] [大卫翁]：瓜唧瓜唧瓜唧。

[03:24] [肖肖跑]：撒花撒花。

[03:25] [余白]：这是知新小酒馆第一个付费专辑，大概率可能也是唯一一个，但是在这里我没有办法打保票。

[03:32] [大卫翁]：别别别，为什么要后无来者？我们前无古人就可以了。

[03:36] [肖肖跑]：怎么可能，这不只是第一季嘛，我还冲着至少五季去呢。

[03:40] [余白]：小跑老师已经录上头了，根本不过瘾。但我觉得我在这里可以先给大家讲一下，因为大家可能也会觉得很困惑，就是熟悉我们的听众都会知道小酒馆从来不接任何的广告，我们之前也没有任何的付费内容。为什么会这么突然上线了这样一个付费专辑？就得回到我们这个系列的前两期，桥水基金创始人瑞达利欧和文艺复兴科技的 James Simons 这两期说起。

[04:07] [大卫翁]：嗯，其实还要再往前挪一点，我觉得可以说说因为这个系列我记得是我提议的对吧，就最早最早啊。

[04:14] [肖肖跑]：对的。

[04:15] [大卫翁]：我最早想做这个系列的一个初衷吧，其实要追溯到2023年底。

[04:21] [肖肖跑]：这么早嘛。

[04:22] [大卫翁]：对，我跟肖跑第一次见面，我们俩录了一期串台的节目。录完之后呢，我就很不“过瘾”，然后正好那个时候在听一些播客聊这些投资大师，我觉得英文世界已经有不少聊投资大师聊的不错的节目了，但中文世界呢，更多的他们是从媒体人的身份去探究这些人的生平。

[04:46] [肖肖跑]：嗯。

[04:46] [大卫翁]：很少有从真正做金融的投资的人的视角去看待这些人。当时就萌发了这个想法。后来呢，跟余白聊起来就一拍即合，那我觉得引入余白也是这个系列成功的非常关键的一步。

[05:03] [余白]：主要是督促你们录音。

[05:05] [大卫翁]：没有没有，因为如果只是我跟跑师的话，我们可能会聊的内容会不是说深，而是说更小圈子一点，就是更像是我们自己内部的一些，对吧，会有很多的专用术语，很多的暗号。在其他行业的人听起来会觉得你们是不是在故意装什么。这个说候余白就充当了一个非常好的提问者，或者说把整个流程串起来的这么一个角色。

[05:33] [余白]：对，我主要是负责扮演一个无知和茫然的角色。

[05:36] [肖肖跑]：哎呦没有没有。

[05:37] [余白]：这个角度太重要了，就是如果说我和大老师一起录的话，整个系列就会变得很油腻。

[05:44] [大卫翁]：所以录了两期之后我也发现为什么现在市面上更多的关于这些投资圈的事情都是由媒体人的视角来看。

[05:52] [肖肖跑]：嗯。

[05:52] [大卫翁]：这是对的，因为确实如果就是让投资圈自己的人来讲的话，就是会很油腻，很老灯，很没有让普罗大众感兴趣的这种视角。

[06:02] [肖肖跑]：因为你要讲这些投资大师尤其是他们的投资逻辑和策略，它确实涉及到一些专业术语，有很多的背景知识需要先给大家。这个其实是很有挑战性的一件事情。

[06:16] [大卫翁]：对。另外我跟跑师录了两期我才发现我们俩的这个配合也非常的好，就是我们的出发点是非常不同的。因为我是做股票投资出身，对吧，然后资产配置一路走到现在。那跑师她更多地接触到的是从交易、宏观，然后现在的一些虚拟经济、数字货币，这是两个非常不同的路线。另外呢，我是走中国，然后包括去了主权基金之后接触到欧美，那跑师呢是跟植东南亚，然后有很多不同国别的这种视角。所以我们俩在看待不同的投资大师的时候，确实能够发现他们中间很不一样的这种侧面跟角度。所以我们俩一起来聊这些投资大师也是一个很适合的组合吧。

[07:04] [肖肖跑]：可谓是卧龙凤雏。

[07:07] [大卫翁]：而且我们殊途同归，就是我们最终都会相对比较周期论一点，然后相对比较配置学派，重视这种宏观叙事等等。所以呢，投资圈就是走着走着又走到一起去了，对。

[07:20] [肖肖跑]：对。

[07:20] [余白]：大老师就是这段讲的，我还是挺有感触的。我发现就是咱们俩找这个原启点还真的是23年的时候，我们第一次录的那一期。但是我的角度跟你不一样，因为我记得那个时候我说过一句话，我们那个时候应该是提到了基辛格，应该是基辛格刚刚去世。

[07:39] [大卫翁]：对。

[07:39] [余白]：然后呢，我们就说了一句话，说当你看到在某个时段，有一些大师集中去世的时候，那就证明这一个时代已经结束了。我们现在已经开始了这一个专辑，我现在回头复盘一下，我其实觉得是有原因的。就是那个是作为起点，那个确实是给了我一个启发。因为我们是金融行业的嘛，那么对于这个时代我们是需要做一个复盘一个总结的。那最容易的方法呢就是找几颗星星，就是这个时代中非常有代表性的这些大师们，我们去复盘他们的人生，会给我们很大的启示。

[08:15] [肖肖跑]：投资群星闪耀时。

[08:17] [余白]：对对对，哎，我正好说这句话呢。其实我对我这个专辑还是非常非常满意，甚至有点得意。那么说大一点呢，我真的觉得这个是一张我们献给投资界的专辑。因为其实我们想一想，我们几乎是讲述了近半个世纪以来投资这段历史的来龙去脉。想一想我们选的这些大师们，他们的这些人，这些背景，这样一路了解下来呢，我就觉得也可以更好的帮助我们和帮助大家看清我们现在所处的这个时代。坐标系，就是我们现在有什么不一样，跟过去我们曾经经历过的一切，当然了，我们自己没有经历过。这些大师经历过的这些经济周期啊，金融市场，它在什么坐标段，然后我们现在在什么坐标段。这个复盘是非常非常重要的。

[09:07] [大卫翁]：对。

[09:07] [余白]：我真的觉得这个专辑如果有个副标题，那就是金融群星灿烂时，像这些大师的群像们致敬的一个非常重要的专辑。

[09:17] [大卫翁]：嗯。

