[00:00:00] （背景音乐：轻柔吉他演奏）
[00:00:08] [主播]：大家好，我是方夜资本的合伙人李峰。欢迎来到这一期。
[00:00:13] 那这一期呢，我们讨论的是一个比较热门和受关注的话题。在AI硬件变得越来越受关注之后，那AI硬件当中的所谓叫AI陪伴玩具赛道，变成了特别受瞩目的一件事情。因为这既跟情感需求有关，又跟AI硬件到底什么样的呈现形式，能否完成情感陪伴这个功能有关。那当然这一次，正好在北京海淀的创业大街举办的这次活动当中，我们有幸地请到了我们刚刚投资的一个AI陪伴玩具Ropet的创始人何嘉宾，跟他一起来讨论关于AI陪伴玩具。当然他做了一些跟别人不同的功能选择，也做了一些比较特别的AI技能。当然也对这个玩具设计本身做了非常多自己的一些细心想法。那具体他为什么会这么做，当然也包括我们为什么看好这个方向，和为什么看好这个项目，在之后的时间里跟大家一起分享，也期待大家有更多不同的建议意见。欢迎在之后的评论区来讨论。
[00:01:19] [主播]：特别感谢大家愿意在这个周末花时间来跟我们一起讨论这个时髦话题。今天我们花时间呢，主要是因为我们录播客一般没有这么紧张，一般就是两人在 我们办公室里头把这个架好之后可以谈的比较放松。因为今天有如此热情和好的大家听众们一会来互动，所以我们难免就比较紧张。因为没有在这么多人场合录过播客。那今天有机会请到何嘉宾的也难得。我们的CEO群里我多说今天要期待着男生和男生之间要擦出火花。但是今天我们两个男生呢，还是配角。今天我们还有一个女主角，就是这个AI陪伴玩具。我们在这个正式开始谈话之前，我们先给一丢丢广告时间，允许我们的何总介绍一下他心爱的女朋友。
[02:09:47] [嘉宾]：感谢冯叔刚刚的介绍，然后也很荣幸今天能够在这跟大家一起来分享我们Ropet到底是一个什么样的故事。大家其实或多或少应该听说过Ropet的这个产品，其实它就是专为女性去设计的提供AI情绪价值的解决孤独问题的这么一种全新的宠物形态。这个宠物形态最重要的一个场景呢，就是放在桌面上，安静地看着你，然后能够一直有在场的属性。Ropet很萌的一个脸上有个摄像头。那我們是非常重视就是机器人的视觉数据的。因为视觉数据跟现在所有大模型不一样，它是一个行为数据，没有现成的这样的大量的数据源，就无法去做成一个特别智能化的宠物的大脑。那我们希望能先做第一步，就是把一个好看的，然后女生喜欢的AI宠物，先让用户能够带回家，然后放到一个它经常出现的位置，例如办公桌面上，能够长时间的保持开机率，然后有主动互动的一些行为，然后慢慢的它就会能识别出来主人的一些情绪的变化的数据，然后养成它自己，我们把它叫做是你情绪的一个投射的性格。就是它会越养越像你。我们的标语叫做越养越懂你。就是到了一定周期之后，它就会跟你用同样的一些行为习惯，例如它会学习你一些口头禅。如果你照顾得好的话，它会开始慢慢地叫你妈妈。那整个过程其实就是我们希望能唤醒女性用户在这个孤独的世界里边的，那丝爱的感受。我们觉得这种爱的感受在当代高压的都市环境中是非常稀缺的。那我們作为这个产品的创业的初心，也是希望能够把AI和机器人技术为更多的女性去带来这种科技创新的一些新的产品的体验。这是我们做Ropet的整个大的一个背景故事。Ropet还有一点的话，就是它是结合的AI和潮玩这两个产品的一个交集区域。当然我们还有一个交集区域叫宠物。我们把自己叫做未来宠物公司。我们希望未来所有的生物宠物里边有一个归机宠物是叫Ropet这个品种。然后这个品种可能又会有不同形态的，可能在桌面上，可能挂在包上了，可能又在你车上的，也有在家里到处跑的。但是这个品种一定是更适合未来的新时代的人群，它的生活方式的。
[04:26:47] [主播]：那既然我们已经合作了，我我就稍微从我的角度简单回顾一下这个过程。因为我们投了蛮多精力去看所谓叫AI硬件，我们先把这个为什么AI硬件这事先放一放。我们先往前追溯一下这个整个AI陪伴玩具的事。我们同时让我看了好几个，看完以后。
[04:44:27] [主播]：这都是为了AI做个玩具。这听起来不是特别玩具，不是特别消费者导向。所以我已经下定决心不再看了，因为基本上看了三五个全都是为了做AI做个玩具。然后同事，看完他之后，不止一个同事跟我说，这个人你一定要去见一下。然后后来我们就见了一次。他当时反正对我印象比较不同的一件事情，就是先考虑做一个怎么让大家喜欢的事，再考虑AI在里边起多少作用。这是个非常明确的主次关系问题。那我也觉得这个想法还挺正确的，于是我们当然就有了这样的合作机会。回到我刚才那个刚去认识他之后，我们谈了很久之后，我心里存的第一个疑问，不是这事行不行，好说这个他怎么作为一个男生能想这么细。后来才知道说因为他，不管是从学习、工作，都有很多注明经历和背景。当然一路都是跟贴近用户的产品设计相关的。所以在我相信，假定你聊完之后也抱有跟我一样话题的话，为了先解释这个困惑，让他来先花一点点时间介绍一下自己的英雄历史，你就能理解说他怎么能够想产品，想到这么多情感和产品设计细节之间的联系。
[05:48:02] [嘉宾]：OK。冯叔您说这个话题让我印象深刻。大家可能对于我的印象还是觉得就是比较懂女性嘛，然后为什么会这么懂女性？其实是因为我有十年做时尚和女性消费品的这样的一些产品经历。其实最开始的那个原点是因为我2014年毕业于北京服装学院，在服装学院学了四年的产品设计。我们就是一个女生会比较多的氛围。很多这个学校里边的专业其实都是女性消费洞察来建的一些专业，例如服装设计，例如珠宝、服饰、箱包这一些。所以我在那个学校的氛围里边一直在思考，就是说我作为一个工业设计背景的学生，我如何能形成独特的跨界优势。所以在2014年过程中，我就一直在想，这个要拥抱科技。因为我觉得科技肯定是第一生产力。那很多伟大的产品的变革一定来自于底层技术的这种爆发。然后待会也会跟冯叔展开聊，我们怎么去看待科技创新这件事情，以及科技创新的机会的那个窗口在哪。然后当时刚好碰到了一件重要的事情就是2014年，大众创业，万众创新，就是今天大家在了这条街上，有大量的创业者开始从事做AI硬件相关的创业。那是早期的AI人工智能时代，我们在探索各种各样场景的想象力。当然当时我们可能没有做得很好的场景，今天都有机会再做一次，因为真的AI出现了，强人工智能出现了。所以那个时候我受到这样冲击之后，我决定说我以后毕了业，我不能去一个传统行业里边，再去做设计。我应该把一只脚迈进科技行业。所以当时我就去了在微软亚洲研究院，开始从事跟人机交互相关的一些这种交叉学科跟一群科学家一起，再去研究如何让技术看起来让大家更愿意去使用，就是更讨喜。就是让科技的外衣包裹上一层叫做审美的东西。然后举个例子，就是我们当时在做头戴的这种第一人称的叫做AI助理，就是今天大家所谓的AI眼镜。我们其实在十年就你已经开始做了。那比较复古的产品是Google的Google Glass。然后那个时候其实我们在研究说，如何把一个眼镜放在头上，一个摄像头放在头上，让女生愿意去戴。这其实是有挑战的，因为戴你头上，它是一个异类，你走在大街上的时候，大家会投来异样的眼光。
[08:06:05] [主播]：这个我稍微插一句。那个我们在看AI硬件的时候，我就正好从投资人视角稍微讲一下。就是有另外一件事情呢，比较有意思的是我们同事从去年开始，我手，我们看AI硬件的时候，他们就说最热的是AI眼镜。我说我们看了几个。后来我说我想了一下，在中国呢，可能不那么容易。因为他刚才说让女性视角来戴，我就说我们有几个小的，也许只是片面的观察点。第一个问题呢，是大家都说你看Meta推了一个这个眼镜，非常成功。当然这是今天的AI眼镜热潮的起点。我说你看那个美国人呢，他有80%以上的成年人上班是开车了，用自己的车开车上班的。然后美国人呢，因为近视率比较低，且近视了以后戴隐形眼镜的比例，就是透明隐形眼镜的比例非常高。所以说他们因为开车上下班的平均在途时长，单程要超过40分钟，接近50分钟。所以说他们戴墨镜，戴两小时，这个习惯非常好。就是戴两小时，然后摘下来，因为这是他上下班本来就要做的事。所以因此呢，你看这个Meta非常讨巧，推了一款墨镜，跟雷朋合作。然后墨镜做了一个带，比如说拍照的功能。那老美呢，本来每天戴两小时墨镜，然后不戴的时候就放边上了，因为他也不会一天到晚戴着那个。然后，那今天的AI眼镜凑巧，还有一个小挑战，就是你很难长续航。就是说白了，你不能戴那之后一直戴着。你像我这样戴近视眼镜，我很痛苦，我不能忍受说戴三小时之后，你给我拿去充电半个小时，然后让我再戴回来。那那半个小时，我基本就只能歇菜，对吧。那我说这是一个很大的差别。那墨镜跟这个是不一样的，因为中国，第一个近视率很高。第二个在近视率很高的情况下，大家说那女生他们不戴不愿戴有框眼镜，不像男生。因为男生你还得解决有框眼镜的问题，近视度数问题。然后你像我这样男生，因为我还爱点运动，所以你还得解决我的眼镜怎么能越来越轻的问题。这是我追求的唯一目的。那你跟我说我这眼镜上还要戴电池，还要戴摄像头，还要戴芯片，还要戴传感器，甚至还要戴更多负载的东西，然后还要每两小时脱下来一次，我应该是不太容易接受这个生活习惯。那女生可以，他刚才讲到了。我们投了一个中国现在是第一名的这个叫，我们叫美瞳，就是这个日抛月抛的这个眼，让眼睛有点颜色的这个。然后他有个数据非常好玩。在2020年，我们刚投的时候，这个市场很小。2020年初，我们投他第一笔天使的时候，他的美瞳销售当中，只有7%的人是不近视也戴美瞳，就是只是为了好看。那当然戴美瞳的人里边，你认为有，那个时候大概90多一点吧，好像是女生，还有接近不到10%的是男生。到2024年的时候，它那个金额已经扩大很多了，已经是个十几亿的这个销售额的公司了。也是中国第一名了。那它的那个用户当中，已经有接近30%是不近视戴美瞳的。就不近视，只是为了让眼镜好看，戴美瞳的。亚洲女性的特点是轮廓没有那么深。所以说女生第一个不爱戴眼镜，这是肯定的。第二个问题是，即便是近视了的话，甚至不近视，他也愿意尤其经过疫情强化。因为疫情，这口罩一捂，只能看见这这这这个地方。所以大家竭尽全力的在眼睛和眉毛上或者眼眶周围，这个弄点心思让我显得好看。所以因为这样的原因呢，亚洲女性愿意戴隐形眼镜，还愿意戴美瞳，就是因为欧美本来呢眼睛就五颜六色，所以他戴不戴美瞳都跟戴了差不多。所以中国的女性，第一个不爱戴眼镜，有框。第二个问题是，写在这个基础上，他即便是近视的人，也要戴美瞳。那你要戴个眼镜，把我好不容易花钱戴上去的美瞳给我遮起来，我想应该女生也不是特愿意。所以因为这三个原因，所以后来我们想了一下，AI眼镜就暂时没有把我们主要的关注点放在AI眼镜，但我们这都是一家之言，片面之辞，所以仅供参考。但你也可以结合你的生活实践，想想周围大概是不是这样。让他接着说你的观察细节来源。
[10:08:24] [嘉宾]：OK。对，冯叔说得很好，就是其实很多这种消费者愿意去购买一个产品，在选择的时候都会有很多本土的生活习惯的影响。其实你像我们做的是全球化的产品。全球化每个地区对于使用这种这样的产品，它都有千差万别的不同的使用习惯。例如我们最开始的时候，定义的这个产品是24岁到30岁左右的都市这个叫独居女性为主。但是我们现在。
[10:34:39] [主播]：这个你可以放心，现在24到30岁的基本都是独居女性。
